atom,X,Y,Z
C,0.0,1.1143008752861436,-3.3679881476852027
C,0.0,-0.20577156554396783,-2.8464745994994622
C,0.0,1.3600736145273515,-4.746185605906862
C,0.0,-1.2871911619496648,-3.7469709237324227
C,0.0,0.2684449627378608,-5.616461802794564
C,0.0,-1.0480432877776964,-5.119961931215117
S,0.0,2.3414863776495642,-2.0983352263836625
C,0.0,1.095063298643155,-0.8450227587020869
C,0.0,-0.22127164703965804,-1.3945398510311318
C,0.0,1.3266882583305248,0.5293113862084633
C,0.0,0.22127027263229182,1.394538028951443
C,0.0,-1.3266907011201736,-0.5293140762307184
C,0.0,-1.0950661635680743,0.8450204691243515
C,0.0,0.20577281698906638,2.846474814178678
C,0.0,-1.114299861647022,3.3679886889732322
S,0.0,-2.341492838785093,2.098332834281515
C,0.0,1.2871990820351042,3.746970263994116
C,0.0,1.0480430734522963,5.119960765729543
C,0.0,-1.3600718059276393,4.74618308448324
C,0.0,-0.26844590571484744,5.6164623737204815
H,0.0,1.8886584578983192,5.816918389623506
H,0.0,-0.4421196995991366,6.6947719045408345
H,0.0,-2.381138771993243,5.132850798738172
H,0.0,2.343284394080464,0.9282238033072727
H,0.0,-2.343296011755197,-0.9282322952933073
H,0.0,2.3124348726326436,3.368534780527713
H,0.0,2.381141667319752,-5.1328581314981845
H,0.0,0.4421175191528387,-6.694746169283619
H,0.0,-1.888658181463136,-5.81691858371521
H,0.0,-2.312421941089638,-3.3685322818559675
